Pop	Food	Muscle_Width	Body_Width	Body_Length	Tail_length	Body_depth	Muscle_depth	Tail_depth
6	R	1.5	7.8	11.66	20.87	6.8	2.1	6.5
6	R	1.3	6	9.76	18.67	4.9	2	4.7
6	R	1.5	7.3	11	23.32	6.3	2.4	6.3
6	R	1.5	7.4	11.52	21.78	6.4	2	6.1
6	R	1.6	8.1	12.36	25.2	7	2.3	7.1
6	R	1.4	7.6	11.04	22.93	6.7	2.2	6.6
6	R	1.3	7.5	11.05	22.09	6.2	2.2	6.7
6	R	1.4	7.8	11.5	24.99	6.3	2.1	6.1
6	R	1.4	7.7	11	23.97	7	2.1	5.9
6	R	1.3	7.1	10.11	24.58	6.1	2.1	5.9
6	R	1.5	7.8	11.11	21.98	6.9	2	6.5
6	R	1.5	7.2	10.77	21.78	6.2	2.1	6.2
7	U	2.3	8.4	13.05	30.33	7.7	2.8	7.8
7	U	2.4	10	13.54	30.64	9	2.9	8
7	U	2.2	9.7	12.76	27.76	8.5	2.9	8.5
7	U	2.5	9	12.8	29.96	7.3	2.8	7.8
7	U	2	7.7	11.47	27.39	6.7	2.5	7
7	U	2.5	10	15.04	30.11	8.8	3.2	8.7
7	U	2.3	10.1	15.09	31.57	9	3	8.5
7	U	1.9	8.8	12.37	25.05	7.5	2.4	7.7
7	U	1.9	7.8	12.41	28.46	7	2.3	7.1
7	U	1.9	8.6	12.31	25.95	7.5	2.4	7.1
7	U	2.1	9.2	13.59	29.53	8.1	2.8	7.3
7	U	2	10	13.45	26.95	8.8	2.5	9
7	U	2	8.9	12.07	26.27	8.1	2.6	7.2
7	U	2	9.5	14.04	28.64	8.5	2.7	8.4
7	U	1.7	8.5	13.85	25.56	7.5	2.3	7.2
7	U	1.8	9.8	13.5	29.13	9	3.1	8.7
7	U	1.9	9.6	13.01	25.75	8.3	2.8	8.3
7	U	2.1	9.3	13.94	30.39	7.8	2.8	8.4
7	R	1.7	7.5	10.83	20.02	6.4	2.1	6.4
7	R	1.6	8.4	11.94	21.24	7.3	2.2	6.4
7	R	1.5	8	11.97	23.1	6.5	2.1	6.6
7	R	1.5	7	10.48	22.07	6.2	2.2	7
7	R	1.5	7	10.66	21.48	6	2	6.1
7	R	1.6	7.3	11.76	22.88	6.5	2.2	7.3
7	R	1.4	7.7	11.35	19.95	6.5	2	6.3
7	R	1.5	6.5	9.93	20.97	5.7	1.9	6.1
7	R	1.8	8	11.16	22.52	6.5	2.2	7
7	R	1.3	7.4	10.45	18.47	6.8	2.2	6.2
7	R	1.6	7.5	11.64	21.1	6.1	2.2	6.7
7	R	1.5	7.5	10.29	20.11	6.7	2	6
7	R	1.3	7	9.09	17.98	6.5	2.1	6.1
7	R	1.6	7.4	11.28	21.4	6.5	2	6.8
7	R	1.5	6.8	10.13	20.66	6	1.9	5.5
7	R	1.7	7.9	11.83	21.25	7	2.3	6.8
7	R	1.7	7	10.77	18.11	6.1	1.9	5.9
7	R	1.7	7	11.13	22.48	6.1	2.3	6.3
7	R	1.5	8.1	11.93	21.7	7	2.1	7.6
8	U	1.8	8.7	11.67	24.88	7.3	2.3	7.2
8	U	2.3	9.4	14.13	27.89	7.8	2.7	8.5
8	U	2	10.4	13.81	26.6	9	2.6	8.3
8	U	2	8.5	12.24	25.14	6.9	2.3	8
8	U	2	8.9	12.36	25.65	7.6	2.8	9
8	U	2.2	8	11.43	27.3	7.3	2.6	7.5
8	U	2.2	9.7	13.61	27.61	8.4	3	8.9
8	U	2.3	9.5	14.13	26.77	8.3	2.8	9.5
8	U	2	9.2	12.22	23.97	7.9	2.5	7.9
8	U	2.3	9.5	13.24	27.21	7.7	2.7	8.7
8	U	2.2	9	12.67	24.5	7.7	2.3	8
8	U	2.2	9.5	12.97	31.55	7.8	2.6	9
