Sample.ID	adaptation	temperature	co2	water.loss	body.size	weight.loss	eggs
X10	heat.adapted	23	0.011952907	7.460525133	0.0179	0.001	28
Y6	heat.adapted	23	0.011773333	7.506786267	0.0181	0.0015	47
Z9	heat.adapted	23	0.008748	7.5219282	0.0182	0.0023	40
X12	heat.adapted	23	0.01141558	7.5234346	0.0176	0.0006	35
Z17	heat.adapted	23	0.010399867	7.659234067	0.017	0.001	36
Y16	heat.adapted	23	0.01226066	7.6853298	0.0178	0.0014	44
Z22	heat.adapted	23	0.00988	7.697213067	0.0161	0.0015	37
Z6	heat.adapted	23	0.008582	7.704437067	0.017	0.002	40
Q17	cold.adapted	23	0.008740693	7.79377	0.0149	0.0016	37
aphla22	heat.adapted	23	0.008784	7.795040867	0.0172	0.0006	42
X13	heat.adapted	23	0.011977907	7.8017424	0.0189	0.0016	37
Z14	heat.adapted	23	0.011619933	7.8257192	0.018	0.0013	50
Z8	heat.adapted	23	0.010673333	7.836892333	0.0175	0.0016	47
S19	cold.adapted	23	0.008621713	7.858981867	0.0153	0.002	40
X15	heat.adapted	23	0.011611973	7.911459467	0.0172	0.0016	50
X16	heat.adapted	23	0.010058667	7.929615067	0.0166	0.0011	32
aphla6	heat.adapted	23	0.01274	7.9342518	0.0192	0.0009	42
S6	cold.adapted	23	0.01055538	7.9345322	0.0165	0.0024	43
S8	cold.adapted	23	0.010046	7.9408818	0.0167	0.0024	40
Z21	heat.adapted	23	0.01205554	7.941558533	0.0194	0.0017	42
X5	heat.adapted	23	0.010484767	7.9515984	0.0173	0.0021	34
O19	cold.adapted	23	0.009567827	8.0066294	0.0161	0.0018	38
aphla5	heat.adapted	23	0.011906667	8.025923733	0.0178	0.0018	44
S10	cold.adapted	23	0.008726667	8.056722867	0.0143	0.0019	44
Z20	heat.adapted	23	0.009832993	8.092359	0.0167	0.0014	41
Q15	cold.adapted	23	0.009343333	8.100641133	0.0151	0.0016	43
O13	cold.adapted	23	0.00963	8.119744667	0.0153	0.0019	42
Z3	heat.adapted	23	0.011460913	8.134719933	0.0167	0.0017	42
Z18	heat.adapted	23	0.008983333	8.197580733	0.0144	0.001	34
